_id,examples[0],examples[1],examples[2],examples[3],examples[4],examples[5],examples[6],examples[7],response[0],response[1],response[2],response[3],updated_at,created_at
650ac3df600d9900a59954bc,KSK01 in không ra dữ liệu NB,KSK01 in không ra dữ liệu NB,,,,,,,"Bước 1: Xin tiêu chí in\nBước 2: Hợp đồng in không ra NB thì vào màn hình danh sách người bệnh đã tiếp đón --> Tìm theo công ty xem công ty đó đã được Tiếp đón KSK hay chưa?\n'+ Nếu chưa thì không lên báo cáo KSK --> Cần báo người dùng tiếp nhận lại\n+ Nếu rồi, vào màn hình Hồ sơ bệnh án check tiếp",,,,2023-10-07T19:18:15.184Z,
650ac3df600d9900a59954bd,Màn hình khám bệnh không hiển thị các chuyên khoa khám,Màn hình khám bệnh không hiển thị chuyên khoa khám,,,,,,,1/ Màn hình Danh sách NB đã tiếp đón: Kiểm tra xem NB đã có dịch vụ khám hay không? Nếu có thì kiểm tra trạng thái Tiếp đón KSK= Đã tiếp đón KSK hay chưa? --> Nếu chưa thì tiếp nhận. Nếu rồi set tới case bên dưới\n2/ Kiểm tra tài khoản đã được gán các chuyên khoa theo mã giá trị trong các thiết lập chung có key Chuyen_khoa hay chưa?\n3/ Kiểm tra xem dịch vụ khám trong danh mục dịch vụ khám bệnh đã được gán các chuyên khoa KSK hay chưa,,,,2023-10-07T18:48:51.780Z,
650ac3df600d9900a59954be,Không tìm thấy NB để tiếp nhận lấy mẫu,Không thể tìm thấy NB để tiếp nhận lấy mẫu,,,,,,,"1/ Xin thời gian GET chỉ định mà người dùng báo --> Kiểm tra thời gian thực hiện (thời gian thực hiện) của dịch vụ tại màn hình Hồ sơ bệnh án, nhấn icon con mắt để xem, xem đã thỏa mãn thời gian LIS GET chưa?\n(1.1) Nếu chưa thì báo lại thời gian đúng\n(1.2) Nếu rồi check tiếp tới case: danh mục dịch vụ đã được thiết lập đơn vị kết nối chưa? Nếu thiết lập rồi thì check tiếp Phòng thực hiện của dịch vụ có được thiết lập Ngoại viện= true hay False --> true thì mặc định k hiển thị (cần đổi lại thiết lập và tác động sửa phòng thực hiện để ăn theo thiết lập mới), fasle thì sẽ hiển thị bên LIS\n+ Nếu đúng hết (1.1), (1.2) thì báo lại phía ISOFH check lại",,,,,
650ac3df600d9900a59954bf,Không thấy id bản ghi dịch vụ để trả kết quả,Không thấy id của bản ghi dịch vụ để trả kết quả ,,,,,,,Xử lý: xin bản tin GET chỉ định của LIS và response trả về xem lúc đầu GET thì respone trả về sao\nNguyên nhân chính: Do lúc GET chỉ định bên LIS trạng thái thanh toán dịch vụ của HIS= Chưa thanh toán --> người dùng có thể xóa chỉ định và chỉ định lại dịch vụ đó thì id bản ghi xét nghiệm đã bị thay đổi khi trả kết quả sẽ không tìm thấy để trả (ISOFH đã giải thích với phía PK),,,,,
650ac3df600d9900a59954c0,Trường hợp LIS trả thiếu KQ cho HIS với dịch vụ FOBT,LIS trả thiếu KQ cho HIS với dịch vụ FOBT,,,,,,,Nguyên nhân: do LIS set thiếu trạng thái dịch vụ nên bị trả thiếu\nGiải pháp: LIS map lại KQ trả\nTrạng thái: LIS đã hoàn thành xử lý,,,,,
650ac3df600d9900a59954c1,Trả thiếu kết quả cho NB không phải FOBT,Trả thiếu cho NB không phải FOBT,,,,,,,Nguyên nhân: do cấu trúc bản tin có kí tự enter bên LIS convert lại nên bị ảnh hưởng tới rớt 1 số gói tin khi cập nhật kết quả sang HIS,,,,,
650ac3df600d9900a59954c2,Khi tiếp nhận từ màn hình Tiếp nhận --> không đẩy NB sang PACS,Tiếp nhận từ màn hình Tiếp nhận --> không đẩy NB sang PACS,,,,,,,Giải pháp: màn hình Tiếp nhận --> tìm NB và nhấn button hủy tiếp nhận --> Tiếp nhận lại,,,,,
650ac3df600d9900a59954c3,Trường hợp trả kết quả từ PACS - HIS --> hệ thống PACS báo: Finalize trên PACS rồi nhưng HIS chưa nhận được kết quả,Trả kết quả từ PACS - HIS --> hệ thống PACS báo: Finalize trên PACS rồi nhưng HIS chưa nhận được kết quả,,,,,,,"Xử lý: Phía PK trao đổi trên group chung: Mirai Clinic HIS-RIS-PACS để 2 bên HIS, PACS nắm được thông tin hỗ trợ\nChi tiết: khi HIS, PACS nhận thông tin cần làm rõ:\nVới HIS: xin bản tin và reponse khi PACS trả kết quả thành công để check lại\nVới PACS: cung cấp bản tin,reposne kèm thời gian trả kết quả để HIS check log bên HIS\nSau khi hoàn thành: báo lại kết quả cho phía PK",,,,,
650ac3df600d9900a59954c4,Trường hợp trả kết quả từ PACS - HIS --> hệ thống báo lỗi: dịch vụ ở trạng thái chờ hoàn/ đã hoàn,Trả kết quả từ PACS - HIS --> hệ thống báo lỗi: dịch vụ ở trạng thái chờ hoàn/ đã hoàn,,,,,,,Nguyên nhân: do người dùng bị tích nhầm icon Không thực hiện ở màn hình Hồ sơ bệnh án tab DVKT --> trạng thái thanh toán đổi từ Thường => Không thực hiện\nnên PACS trả kết quả sang HIS thì báo lỗi\nXử lý: báo dev đổi lại trạng thái = Thường để trả KQ quả khách\nHiện trạng: đã phân lại chỉ để quản trị hệ thống mới có quyền xác nhận Không thực hiện --> đã không còn lỗi trả KQ như thông báo với trường hợp trạng thái thanh toán= Không thực hiện,,,,,
650ac3df600d9900a59954c5,Có NB Không in ra giấy ksk form A3,Có NB Không in ra giấy ksk form A3,,,,,,,Kiểm tra xem NB có dưới 18 tuổi không? vì người bệnh dưới 18 tuổi thì chỉ có 1 form A4.\nCòn trên 18 tuổi thì mới đc lựa chọn form in: a3 hoặc a4,,,,,
650ac3df600d9900a59954c6,Sửa đổi thông tin thanh toán dịch vụ ngoài hợp đồng từ Thanh toán theo hợp đồng thành Tự thanh toán và đã tồn tại dịch vụ chỉ định cho NB,Đổi thông tin thanh toán dịch vụ ngoài hợp đồng từ Thanh toán theo hợp đồng thành Tự thanh toán và đã tồn tại dịch vụ chỉ định cho NB,,,,,,,"Các bước xử lý:\n1/ Vào danh sách hợp đồng --> tab Danh sách Người bệnh, vào chi tiết Nb đổi dữ liệu của cột: Hình thức thanh toán dịch vụ ngoài hợp đồng từ thanh toán theo hợp đồng thành Tự thanh toán\n2/ Màn hình: Danh sách người bệnh đã tiếp đón, tìm NB --> vào chi tiết NB --> nhấn button Sửa: tích tự trả cho những dịch vụ chỉ định ngoài hợp đồng --> nhấn button Lưu\nMục đích của bước (2) để hệ thống sinh được phiếu thu thanh toán ở màn hình Danh sách phiếu thu",,,,,
650ac3df600d9900a59954c7,Với khách được hẹn khám định kỳ (không phải khách chưa sử dụng hết dịch vụ trong gói khám) --> muốn kết quả hiển thị theo từng ngày khám,Với khách được hẹn khám định kỳ (không phải khách chưa sử dụng hết dịch vụ trong gói khám) --> muốn kết quả hiển thị theo từng ngày khám,,,,,,,Cần đẩy lệnh khám mới từ CRM để sinh mã hồ sơ mới (sử dụng chung mã NB),,,,,
650ac3df600d9900a59954c8,"Không tìm thấy mẫu kết quả chẩn đoán hình ảnh, thăm dò chức năng để chọn mẫu cho khách hàng trong màn hình Tiếp nhận","Không tìm thấy mẫu kết quả chẩn đoán hình ảnh, thăm dò chức năng để chọn mẫu cho khách hàng trong màn hình Tiếp nhận",,,,,,,"1/ Trường hợp đã tồn tại sẵn mẫu kết quả trong danh mục Mẫu kết quả Chẩn đoán hình ảnh và thăm dò chức năng: trường Tên dịch vụ, thêm tên dịch vụ cần gán mẫu kết quả có sẵn đó\n+ Nếu thêm dịch vụ cho mẫu KQ rồi, người dùng cần nhấn vào icon ? (bên trên tay phải màn hình, nhấn ĐỒng bộ danh mục --> vào lại khách và add mẫu kết quả cho khách\n\n2/ Trường hợp chưa có mẫu kết quả của dịch vụ trong danh mục Mẫu kết quả Chẩn đoán hình ảnh và thăm dò chức năng --> Cần nhấn Thêm mới mẫu kết quả, điền thông tin: Tên mẫu+, mã+, thông tin KQ, KL, Cách thức can thiệp, phương thức can thiệp, Tên dịch vụ+",,,,,
650ac3df600d9900a59954c9,Vào hệ thống báo lỗi sai mật khẩu/ không nhớ mật khẩu,Vào hệ thống báo lỗi sai mật khẩu/ không nhớ mật khẩu,,,,,,,NSD: Liên hệ Phòng CNTT/ Bộ phận phụ trách để xử lý\nPhòng CNTT:\n1. Vào Quản trị tài khoản\n2. Tìm kiếm và chọn tài khoản cần xử lý\n3. Bấm chọn Reset mật khẩu ở cột Thao tác\n=> Hệ thống sẽ reset mật khẩu mặc định của NSD về 123456,,,,,
650ac3df600d9900a59954ca,Tool hiện tại đang báo lỗi do không có quyền truy cập vào ổ C-> không thể cài đặt lại tool trong ổ C,Tool hiện tại đang báo lỗi do không có quyền truy cập vào ổ C-> không thể cài đặt lại tool trong ổ C,,,,,,,Nguyên nhân là do máy tính có phần mềm Antivirus-> Phần mềm diệt virus đang mặc định rằng ISOFHTool là phần mềm không an toàn nên tự động xóa đi file cài => Không dùng được LCD + Không in nhanh được\n\nXử lý:\n1.Tìm kiếm phần mềm antivirus\n2.Chỉnh lại phần mềm Antivirus cho phép không scan vào File ISOFHTool,,,,,
650ac3df600d9900a59954cb,Màn hình LCD sau khi đổi thông tin vẫn  không thay đổi được,Màn hình LCD sau khi đổi thông tin vẫn  không thay đổi được,,,,,,,Nguyên nhân: Do URL của tool và Shortcut ở ngoài màn hình không trùng với nhau\nXử lý:\n1.Vào tool xem URL là gì\n2.Copy lại URL xong tool và paste vào trang web\n3.Xóa đi cái Shortcut cũ và tạo Shortcut mới cho máy tính,,,,,
650ac3df600d9900a59954cc,"Màn hình khám bệnh trắng xóa,không hiển thị gì cả","Màn hình khám bệnh trắng xóa,không hiển thị gì cả",,,,,,,Xử lý:\n1.Mở Isoft tools\n2.Ấn nút lưu,,,,,
650ac3df600d9900a59954cd,"Bấm in ""Phiếu nhập viện"" => báo không có bản ghi ID.\nLà do hệ thống không lưu được Khoa nhập viện của NB","Bấm in ""Phiếu nhập viện"" => báo không có bản ghi ID.\nLà do hệ thống không lưu được Khoa nhập viện của NB",,,,,,,"Xử lý:\nTạm thời, khi gặp trường hợp này.\n1. Thoát trang hoặc Ctrl F5\n2. Chọn lại NB đó\n3. Nhập khoa nhập viện\n4. Lưu\n5. In lại phiếu nhập viện",,,,,
650ac3df600d9900a59954ce,Tình huống người bệnh khi khám xong mà không kết thúc khám được nguyên nhân là do có 1 hoặc nhiều dịch vụ chưa hoàn thành mà lại đi thanh toán và xuất hóa đơn,Tình huống người bệnh khi khám xong mà không kết thúc khám được nguyên nhân là do có 1 hoặc nhiều dịch vụ chưa hoàn thành mà lại đi thanh toán và xuất hóa đơn,,,,,,,"Xử lý\nTrường hợp chưa thanh toán:\n1.Đầu tiên gọi xuống phòng chỉ định dịch vụ đó yêu cầu hủy tiếp đón dịch vụ ấy đi\n2.Sau khi hủy tiếp đón thì dịch vụ sẽ rơi vào trạng thái chờ tiếp đón,lúc này mình có thể xóa chỉ định dịch vụ\nTrường hợp đã thanh toán:\n1.Đầu tiên gọi cho phòng thu thí chọn hủy thanh toán đi\n2.Trường hợp người bệnh đã tiếp nhận thì thực hiện thao tác như các bước trên và thanh toán lại\n3.Trường hợp người bệnh chưa được tiếp nhận vào phòng khám,hủy thanh toán ->hủy dịch vụ rồi thanh toán lại\nHiện tại trường hợp ca LÊ KHẢ NHƯ\nMã hồ sơ:\n2306080067\nMã NB:\n2306006611\nĐang bị kẹt nguyên nhân là do bác sĩ quên xóa chỉ định ấy đi và đã thanh toán,người bệnh đã về.",,,,,
650ac3df600d9900a59954cf,Không lưu được chẩn đoán dẫn đến không chỉ định được DVKT || Không kê đơn thuốc được,Không lưu được chẩn đoán dẫn đến không chỉ định được DVKT || Không kê đơn thuốc được,,,,,,,Có 2 trường hợp\n+ TH 1: Chưa tick không tính tiền (Bảo hiểm quốc tế) => Điều hành tick 'Không tính tiền' là OK\n+ TH2: Bác sĩ lập bệnh án ngoài trú dài hạn\n1. Kiểm tra khoa điều trị dài hạn: Chọn Khoa khám bệnh mới đúng\n2. Kiểm tra bác sĩ nhập chẩn đoán bệnh chưa !!,,,,,
650ac3df600d9900a59954d0,"Khi chuyển Phòng thực hiện, ví dụ NB01 được chỉ định khám S8, tuy nhiên bác sĩ S8 bận, chuyển NB sang khám S5. Lúc này bác sĩ thực hiện vào Tiện ích => chọn Đổi phòng thực hiện. Vì vậy dẫn tới việc gọi số bị nhảy sai. ","Khi chuyển Phòng thực hiện, ví dụ NB01 được chỉ định khám S8, tuy nhiên bác sĩ S8 bận, chuyển NB sang khám S5. Lúc này bác sĩ thực hiện vào Tiện ích => chọn Đổi phòng thực hiện. Vì vậy dẫn tới việc gọi số bị nhảy sai. ",,,,,,,"Cách xử lý:\n1.Ấn vào tiện ích khác,chọn hủy khám(Bỏi vì khi gọi vào rồi thì người sẽ chuyển từ trạng thái đang khám,nên mình phải hủy khám để NB chuyển sang trạng khái chờ khám)\n2.Chọn tiện íchh khác,đổi phòng thực hiện hoặc nhờ điều hành chuyển phòng dùm",,,,,
650ac3df600d9900a59954d1,"Trường hợp tick ""Không tính tiền"" tại màn hình quản lý tiếp đón bấm lưu rồi nhưng không lưu được.","Trường hợp tick ""Không tính tiền"" tại màn hình quản lý tiếp đón bấm lưu rồi nhưng không lưu được.",,,,,,,Cách xử lý:\n1. Kiểm tra lại xem là Không tính tiền đang là dịch vụ hay vật tư\n2. Nếu là Vật tư => Dô Khám Bệnh => Vật tư => Bút chì thần thánh => Nhấn không tính tiền => Lưu,,,,,
650ac3df600d9900a59954d2,Đổi phòng khám cho NB đã nhập khoa nội trú\n( chưa lập bệnh án),Đổi phòng khám cho NB đã nhập khoa nội trú\n( chưa lập bệnh án),,,,,,,1. Vào màn hình Khám bệnh tìm tên NB\n2. Huỷ kết luận\n3. Xoá khoa nhận viện\n4. Tiện ích khác: Huỷ khám-> Đổi phòng thực hiện,,,,,
650ac3df600d9900a59954d3,In biên bản hội chẩn trong Module khám bệnh,In biên bản hội chẩn trong Module khám bệnh,,,,,,,1.Chọn tiện ích khác\n2.Chọn hội chẩn\n3.Chọn tạo hội chẩn mới\n4.Nhập thông tin\n5.Ấn nút lưu\n6.Ấn nút in,,,,,
650ac3df600d9900a59954d4,Kiểm tra máy in phòng V10 (Máy in gốc đang bị ofline nên phải chỉnh qua mấy in phụ(Coppy) để cho lệnh in in qua máy đó),Kiểm tra máy in phòng V10 (Máy in gốc đang bị ofline nên phải chỉnh qua mấy in phụ(Coppy) để cho lệnh in in qua máy đó),,,,,,,1.Kiểm tra xem máy in đang của máy hiện giờ tên gì\n2.Vào danh mục máy in setting lại khổ lấy cho đúng với định dạng\n3.Đồng bộ dữ liệu,,,,,
650ac3df600d9900a59954d5,Chỉ định bộ DVKT báo lỗi thiếu bản ghi ID các DV trong gói,Chỉ định bộ DVKT báo lỗi thiếu bản ghi ID các DV trong gói,,,,,,,Trường hợp xảy ra khi trước đó NB đăng ký gói khám A sau đó đổi qua gói khám B nhưng hệ thống không cập nhật dữ liệu=> Bác sĩ chỉ định bộ DVKT của gói khám B thì hệ thống sẽ báo lỗi\nHướng giải quyết\n1. Vào DS đã tiếp đón kiểm tra lại xem NB đang được đăng ký gói nào\n2. Ctrl F5 để load lại dữ liệu ,,,,,
650ac3df600d9900a59954d6,Chỉnh sửa số ngày cho đơn thuốc của 1 thuốc đơn thuốc,Chỉnh sửa số ngày cho đơn thuốc của 1 thuốc đơn thuốc,,,,,,,Bác sĩ cho số ngày đơn thuốc là 30 ngày nhưng trong đó có 1 loại thuốc chỉ cần uống 5 ngày\nHướng giải quyết:\n1. Kê hết đơn thuốc như bình thường => Lưu đơn thuốc\n2. Nhấn vào cây bút chỉnh sửa line thuốc muốn chỉnh sửa\n3. Chỉnh sửa số ngày kê đơn tại trường thông tin 'Số ngày'\n4. Lưu,,,,,
650ac3df600d9900a59954d7,"Đóng hồ sơ không được,báo là chưa có hướng điều trị","Đóng hồ sơ không được,báo là chưa có hướng điều trị",,,,,,,1.Vào mục KẾT LUẬN KHÁM hoặc ấn F11\n2.Ấn đóng hồ sơ.,,,,,
650ac3df600d9900a59954d8,Không bỏ qua NB được.\nTrường hợp NB đăng ký khám qua app BVNDTP (Nhận biết NB Đk qua app là giờ đăng ký thường là lúc 0h) mà không thực hiện khám,Không bỏ qua NB được.\nTrường hợp NB đăng ký khám qua app BVNDTP (Nhận biết NB Đk qua app là giờ đăng ký thường là lúc 0h) mà không thực hiện khám,,,,,,,Hiện tại HIS ràng buộc phải đóng tạm ứng mới thao tác được thì đối với trường hợp này      \n1. Tick không tính tiền\n2. Vào MH Khám bệnh ấn 'Bỏ qua'\nHoặc nếu NB không khám\n=> Vào DS đã tiếp đón xóa luôn công khám\n=> Hủy tiếp đón NB,,,,,
650ac3df600d9900a59954d9,"Không xóa được chỉ định XN, phần mềm báo lỗi ""Không xóa được DV đã ở trạng thái Chờ lấy mẫu""","Không xóa được chỉ định XN, phần mềm báo lỗi ""Không xóa được DV đã ở trạng thái Chờ lấy mẫu""",,,,,,,Hiện tại: trên HIS nếu bác sĩ cho chỉ định xét nghiệm liên quan đến máu thì sau khi chỉ định trạng thái DV sẽ ở trạng thái 'Chờ lấy mẫu' vì vậy muốn xóa sẽ không xóa được.\nXử lý:\n1. Vào module Xét nghiệm trên HIS\n2. Xác nhận lấy mẫu\n3. Hủy lấy mẫu\n4. Vào MH Khám bệnh xóa chỉ định,,,,,
650ac3df600d9900a59954da,"Không lưu được phiếu Chỉ định nhập viện, phần mềm báo ""Thiếu bản ghi ID""","Không lưu được phiếu Chỉ định nhập viện, phần mềm báo ""Thiếu bản ghi ID""",,,,,,,Trường hợp này là do bác sĩ không nhập Khoa chỉ định nhập viện.\nXử lý:\nVào mục Kết luận khám => Kéo xuống dòng Khoa chỉ định nhập viện => Chọn Khoa => Ấn Lưu => In phiếu chỉ định nhập viện,,,,,
650ac3df600d9900a59954db,"Đối với dịch vụ Siêu Âm Dopler Tim,Van tim. Không tìm thấy dịch vụ bệnh nhân trong phần mềm đọc kết quả (PACS)","Đối với dịch vụ Siêu Âm Dopler Tim,Van tim. Không tìm thấy dịch vụ bệnh nhân trong phần mềm đọc kết quả (PACS)",,,,,,,Xử lý :\n1. Tìm kiếm người bệnh.\n2. Click vào xem chi tiết dịch vụ.\n3. Đưa dịch vụ về phòng Siêu âm (SA).,,,,,
650ac3df600d9900a59954dc,Đối với trường hợp không thể hủy tiếp nhận dịch vụ X-quang\n( Lý do : Vì hiện tại các dịch vụ X-quang đang mặc định tự kê Vật tư Phim Laser nên không thể hủy ),Đối với trường hợp không thể hủy tiếp nhận dịch vụ X-quang\n( Lý do : Vì hiện tại các dịch vụ X-quang đang mặc định tự kê Vật tư Phim Laser nên không thể hủy ),,,,,,,Xử lý :\n1. Tìm kiếm dịch vụ người bệnh.\n2. Click vào xem chi tiết dịch vụ.\n3. Chọn mục Vật tư.\n4. Xóa Vật tư đã kê.\n5. Hủy tiếp nhận dịch vụ,,,,,
650ac3df600d9900a59954dd,"In bảng kê chi phí bị tách ra làm 2 bảng,1 bảng 80% và 1 bảng 100%","In bảng kê chi phí bị tách ra làm 2 bảng,1 bảng 80% và 1 bảng 100%",,,,,,,Xử lý:\n1.Vào màn hình thu ngân kiểm tra xem NB đang ở trạng thái nào\n2.Nếu người bệnh ở trạng thái đã kết thúc điều trị hoặc ra viện thì in lại bảng kê xem còn bị hay không(Vì có thể vừa mới cập nhật lại trạng thái)\n3.Nếu NB ở trạng thái đang điều trị thì ta kết thúc điều trị(Trong trường hợp NB đã hoàn thành) hoặc ngắt điều trị(Trong trường hợp NB sẽ quay lại điều trị) rồi in lại bảng kê),,,,,
650ac3df600d9900a59954de,Quầy tiếp đón Tiêu Chuẩn lúc 16h chiều sẽ chuyển đổi từ loại đối tượng Tiêu Chuẩn sang Tăng Cường,Quầy tiếp đón Tiêu Chuẩn lúc 16h chiều sẽ chuyển đổi từ loại đối tượng Tiêu Chuẩn sang Tăng Cường,,,,,,,"Xử lý:\n1.Vào danh mục Khu Vực\n2.Ở phần Mã khu vực ta tìm kiếm tieuchuan\n3.Click vào đó,chỉnh lại loại đối tượng từ tiêu chuẩn sang Tăng cường",,,,,
650ac3df600d9900a59954df,Đối với in phiếu khám bị chạy ra hàng giấy trắng dài do dư các lệnh in,Đối với in phiếu khám bị chạy ra hàng giấy trắng dài do dư các lệnh in,,,,,,,Xử lý:\n1. Click vào biểu tượng máy in\n2. Xóa các lệnh in cũ\n3. In lại phiếu,,,,,
650ac3df600d9900a59954e0,In bảng kê bảo hiểm y tế ra 1 phiếu thu 100% với 1 phiếu thu 80%,In bảng kê bảo hiểm y tế ra 1 phiếu thu 100% với 1 phiếu thu 80%,,,,,,,Xử lý:\n1. scan mã hồ sơ vào màn hình thu ngân\n2. in lại bảng kê,,,,,
650ac3df600d9900a59954e1,Hai dịch vụ khám nội hai chuyên khoa khác nhau,Hai dịch vụ khám nội hai chuyên khoa khác nhau,,,,,,,"Xử lý : 1) kêu họ kê đúng là khám mắt hay khám răng hàm mặt ,2) kêu họ nhắn lên khth nhờ hướng dẫn kê dịch vụ",,,,,
650ac3df600d9900a59954e2,In bảng kê có chữ kiểm tra,In bảng kê có chữ kiểm tra,,,,,,,Xử lý:1) kết thúc điều trị dài hạn rồi in tiếp,,,,,
650ac3df600d9900a59954e3,Tình huống chọn đối tượng tiêu chuẩn muốn đổi thành BHYT và đổi các loại dịch  vụ thành dịch vụ thu phí/BHYT,Tình huống chọn đối tượng tiêu chuẩn muốn đổi thành BHYT và đổi các loại dịch  vụ thành dịch vụ thu phí/BHYT,,,,,,,cách xử lý:\n1.ấn vào Sửa thông tin đổi loại đối tượng thành BHYT\n2.Sau đó sửa loại hình thanh toán ở phần người bệnh đã tiếp đón là thu  phí/BHYT,,,,,
650ac3df600d9900a59954e4,Bảng kê bảo hiểm y tế hiện công khám và dịch vụ của mã hồ sơ => do có 1 phiếu thu chưa thanh toán,Bảng kê bảo hiểm y tế hiện công khám và dịch vụ của mã hồ sơ => do có 1 phiếu thu chưa thanh toán,,,,,,,"cách xử lý:\n1.thanh toán phiếu thu cũ, trường hợp thuốc không tính tiền nhờ\nđiều khu người bệnh khám cũ tick vào ô không tính tiền\n2.Sau đó mới lịa b ình thường,",,,,,
650ac3df600d9900a59954e5,Hỗ trợ kiểm tra bảng kê chi phí BHYT,Hỗ trợ kiểm tra bảng kê chi phí BHYT,,,,,,,"1.Kiểm tra xem người bệnh đang có trong trạng thái đang điều trị không\n2.Nếu đang trong quá trình điều trị\n2.1.Ngắt điều trị(trong trường hợp NB tiếp tục điều trị , in bảng kê rồi điều trị lại)\n2.2.Kết thúc điều trị rồi in bảng kê(trong trường hợp hoàn tất điều trị)",,,,,
650ac3df600d9900a59954e6,Hướng dẫn người dùng chuyển lại đối tượng BHYT.,Hướng dẫn người dùng chuyển lại đối tượng BHYT.,,,,,,,1.NB đã thanh toán -> gọi kế toán yêu cầu hủy xuất HDDT và hủy thanh toán\n2.Vào danh sách NB đã tiếp đón\n3.Chọn sửa thông tin\n4.Nhập mã BHYT,,,,,
650ac3df600d9900a59954e7,Đối với trường hợp đối tượng này nhưng lại dính công khám của đối tượng khác (F5 nhiều lần không được),Đối với trường hợp đối tượng này nhưng lại dính công khám của đối tượng khác (F5 nhiều lần không được),,,,,,,"Xử lý:\n1. Bác sĩ hủy kết luận, hủy khám\n2. Tiếp đón hủy dịch vụ cũ, kê lại dịch vụ ",,,,,
